"project_id","domain","language","windows","window_idx","num_team","num_commits","blau_gender","Gini_gh_ten","user_id","Core1","commits","propCommits","gender","github_tenure","leavesNextQ"
1101,"OTHER","Python",23,10,10,9280,0,0.385701195141448,1553744,0,390,0.0420258620689655,"male",922,1
1101,"OTHER","Python",23,10,10,9280,0,0.385701195141448,1716812,0,114,0.0122844827586207,"male",788,0
1101,"OTHER","Python",23,10,10,9280,0,0.385701195141448,1614129,0,72,0.00775862068965517,"male",650,1
1101,"OTHER","Python",23,10,10,9280,0,0.385701195141448,2315614,0,16,0.00172413793103448,"male",981,1
1101,"OTHER","Python",23,10,10,9280,0,0.385701195141448,1349863,0,13,0.00140086206896552,"male",212,1
1101,"OTHER","Python",23,10,10,9280,0,0.385701195141448,117614,0,4,0.000431034482758621,"male",92,1
1101,"OTHER","Python",23,10,10,9280,0,0.385701195141448,1614137,0,3,0.000323275862068966,"male",981,1
1101,"OTHER","Python",23,10,10,9280,0,0.385701195141448,1338718,0,1,0.000107758620689655,"male",187,1
1101,"OTHER","Python",23,14,7,8001,0,0.483001408167371,88459,1,7454,0.931633545806774,"male",1144,0
1101,"OTHER","Python",23,14,7,8001,0,0.483001408167371,66609,0,348,0.0434945631796025,"male",138,1
1101,"OTHER","Python",23,14,7,8001,0,0.483001408167371,1614175,0,80,0.00999875015623047,"male",569,0
1101,"OTHER","Python",23,14,7,8001,0,0.483001408167371,1614544,0,80,0.00999875015623047,"male",178,0
1101,"OTHER","Python",23,14,7,8001,0,0.483001408167371,2315614,0,21,0.0026246719160105,"male",631,1
1101,"OTHER","Python",23,14,7,8001,0,0.483001408167371,1614177,0,17,0.00212473440819898,"male",631,0
1101,"OTHER","Python",23,14,7,8001,0,0.483001408167371,7180,0,1,0.000124984376952881,"None",23,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,88459,0,7250,0.687268935444118,"male",1062,0
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1614135,0,1284,0.121717698360034,"male",240,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,877622,0,415,0.0393402218219736,"male",676,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1349863,0,373,0.0353588017821594,"male",56,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1872276,0,372,0.0352640060669258,"male",304,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,66609,0,148,0.0140297658545834,"male",56,0
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1614101,0,135,0.0127974215565456,"male",854,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1419931,0,126,0.0119442601194426,"male",635,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1614241,0,126,0.0119442601194426,"male",712,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,703533,0,126,0.0119442601194426,"male",542,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1614544,0,67,0.00635131292065599,"male",260,0
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,2315614,0,52,0.00492937719215091,"male",712,0
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,738787,0,28,0.0026542800265428,"male",27,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1637793,0,17,0.00161152715897241,"male",715,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,2783231,0,10,0.000947957152336714,"female",652,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,878004,0,7,0.0006635700066357,"male",157,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1369907,0,6,0.000568774291402029,"male",194,1
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1614175,0,6,0.000568774291402029,"male",651,0
1101,"OTHER","Python",23,13,19,10549,0.1,0.37234623015873,1338718,0,1,9.47957152336714e-05,"male",455,1
1101,"OTHER","Python",23,6,8,13570,0,0.45686329326251,226980,0,6308,0.46484893146647,"None",112,0
1101,"OTHER","Python",23,6,8,13570,0,0.45686329326251,875071,0,4394,0.323802505526898,"male",1326,0
