"name_h","Team_type","Team_size_class","human_members_count","bot_members_count","human_work","work_per_human","human_gini","human_Push","human_IssueComments","human_PRReviewComment","human_MergedPR","bot_work","bot_Push","bot_IssueComments","bot_PRReviewComment","bot_MergedPR","eval_survival_day_median","issues_count"
"0Jb-T8Py7O9d0fsJhO-Fpw/TjlzNzwYdgEidxHzg9liQw","human-bot","Small",2,1,93,46.5,0.188172043010752,21,4,68,0,44,22,22,0,0,NA,NA
"0MSCypBPqH6wOKkMednZLg/M-Fsij2kAaViWDhjjMVjSw","human-bot","Large",7,1,875,125,0.553469387755102,802,63,3,7,23,0,23,0,0,5,30
"0tSFBIz2tzBkhwKgfSq7UQ/n51RvHDvIcpcFPMHmAop2A","human-bot","Medium",6,1,527,87.8333333333333,0.625237191650853,184,226,117,0,70,0,70,0,0,1,60
"0u9plLGuVaKHp3lcrvrF2A/sCQtbspzMcP9bWH9fjd82Q","human","Small",2,0,42,21,0.476190476190476,42,0,0,0,0,0,0,0,0,NA,NA
"0YuGJKD19yHae4I2X8Vi3Q/-hWKbMgH_hfA5VVxoYJJWw","human-bot","Large",48,1,2139,44.5625,0.651735624123422,200,1753,186,0,174,0,174,0,0,2,1136
"0YuGJKD19yHae4I2X8Vi3Q/gWpl7HC8bRe4tH8S7ASf9w","human-bot","Large",84,1,9644,114.809523809523,0.807447512393592,1095,5073,3365,111,329,0,329,0,0,2,2993
"1fddEGBjByY_G4DarInf6Q/dP6FD14I5ClGKjWlznOJNw","human-bot","Large",9,1,608,67.5555555555555,0.551169590643274,311,215,82,0,59,59,0,0,0,9,143
"1mozFCDcUHOIVmZ68Ic-NA/wJC9RAxNXWZPPIDx9CUhLA","human","Small",2,0,36,18,0.388888888888888,28,8,0,0,0,0,0,0,0,0,7
"1ZCqDCOX241v3qMiy-pbvw/P4D0E8FW5rpXZ7DnvGOXdg","human","Small",2,0,57,28.5,0.0789473684210526,56,1,0,0,0,0,0,0,0,0,33
"2_VbJzim2NH2AJd2zkXHoQ/eEXeqBpwx7x1M-1kMlhSuQ","human-bot","Medium",4,1,46,11.5,0.152173913043478,33,3,10,0,13,0,13,0,0,12,9
"2-scMrZv13F95YPZmfieww/4Zc56iUYjIZrZU06omFrJw","human-bot","Large",23,2,4648,202.086956521739,0.560240963855421,864,2574,1174,36,1325,0,1325,0,0,11,1635
"2-scMrZv13F95YPZmfieww/GjuAIAEzXGqaVEhpaKZu0w","human-bot","Large",15,1,3030,202,0.631859185918591,587,1569,874,0,75,0,75,0,0,8,753
"2-scMrZv13F95YPZmfieww/liFXB78CaPhMPeBikU5Qtw","human-bot","Small",3,1,342,114,0.35672514619883,149,136,57,0,25,0,25,0,0,17,10
"206tV2TmzJDTRZ3jHCDTLw/g5io3TaElA_NE8LnqjWnGw","human","Small",2,0,28,14,0,28,0,0,0,0,0,0,0,0,NA,NA
"2B7IxtFwGYG8romCC5DROw/JWHcllSwE7P2HpW1xjcQ6Q","human","Medium",6,0,191,31.8333333333333,0.506980802792321,95,84,12,0,0,0,0,0,0,9,50
"2bL_hc3RIUujEgCYopaKRQ/lj0G1E2S6gy_t3ZRgMccyg","human","Medium",4,0,67,16.75,0.414179104477611,27,16,24,0,0,0,0,0,0,NA,NA
"2p42bf0WUC5OMDhkxwDhgA/A-W0XDejwLivn1Fqs-KFpQ","human","Small",3,0,88,29.3333333333333,0.537878787878787,82,6,0,0,0,0,0,0,0,NA,NA
"2WfU41GAApN1NN0jUHH8Ow/nzVsGTrKIvtd3dOGpl-vEw","human-bot","Large",7,1,250,35.7142857142857,0.707428571428571,240,8,2,0,28,0,28,0,0,NA,NA
"2YooFnD4H475CTRDBy1BfQ/JMo2gKLg2FNonrZIaXL2Kg","human-bot","Large",7,1,396,56.5714285714285,0.578643578643578,254,121,21,0,109,0,109,0,0,43,51
"31CMPZEbeojAsTUTcQrk6g/FcxPTB_RHRXCDc4XQJOHCQ","human","Small",2,0,93,46.5,0.456989247311828,86,7,0,0,0,0,0,0,0,NA,NA
